# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 235, mean track length: 2
233 -1.323682198092393 0.10147699514728367 7.0686376213084232 199 44 0 1.2504933874614572 6 1166 40 1315
234 -1.2372584028876008 -0.01984391077800227 7.0775290495613179 177 198 255 0.68223253824051788 6 1195 40 1320
235 -1.258228995964368 0.0078501090920603256 7.075907510421712 62 71 86 0.023999363543937436 6 1198 40 1321
236 -1.258228995964368 0.0078501090920603256 7.075907510421712 62 71 86 0.023999363543937436 6 1199 40 1322
237 -1.3236881480649483 0.047542742744580549 7.0539530644852029 132 90 48 0.063455256763347262 6 1183 40 1324
238 -1.2691584468676402 0.0010328814075315496 7.0714031992829574 105 129 153 0.29942690113897708 6 1214 40 1335
239 -1.1737796566991081 0.06729328345108837 7.1270453333886321 118 72 46 0.086670501022305502 6 1216 40 1338
240 -1.30121848657256 0.086842594396357026 7.0698845229111953 203 144 128 0.76817642508334227 6 1218 40 1339
241 -1.3255949607827817 0.085445151071303849 7.0611413145182622 229 214 211 1.5175299651995657 6 1229 40 1348
242 -1.2663997292834877 -0.013011854801296449 7.0728530329547308 182 203 248 0.39375433391712134 6 1234 40 1353
243 -1.2663997292834877 -0.013011854801296449 7.0728530329547308 182 203 248 0.39375433391712134 6 1235 40 1354
244 -1.2827986697522358 0.0042350636060562372 7.0698410966060976 58 54 52 0.094711653103662072 6 1236 40 1355
245 -1.1885747877289523 0.1617803224779146 7.1165938658099464 198 89 6 3.6400150570360568 6 1232 40 1357
